county,cases,deaths
Kendall,7,0
LaSalle,3,0
Lake,185,0
Livingston,1,0
Madison,6,0
Marshall,1,0
McHenry,27,1
McLean,7,1
Monroe,3,0
Morgan,1,0
Peoria,5,0
Rock Island,4,0
Sangamon,7,1
St. Clair,13,0
Stephenson,2,0
Tazewell,2,0
Unknown,58,0
Washington,1,0
Whiteside,1,0
Will,67,3
Williamson,1,0
Winnebago,8,0
Woodford,3,0
Adams,1,0
Allen,19,1
Bartholomew,6,0
Boone,7,0
Brown,1,0
Clark,10,0
DeKalb,1,0
Dearborn,3,0
Decatur,13,0
Delaware,7,1
Dubois,1,0
Elkhart,7,0
Fayette,3,0
Floyd,7,0
Fountain,1,0
Franklin,13,1
Gibson,3,0
Grant,3,0
Hamilton,40,0
Hancock,9,1
Harrison,2,0
Hendricks,21,0
Howard,6,1
Jackson,2,0
Jasper,3,1
Jennings,4,0
Johnson,36,3
LaPorte,2,0
Lake,31,0
Lawrence,2,0
Madison,4,0
Marion,293,6
Marshall,1,0
Miami,1,0
Monroe,6,0
Montgomery,2,0
Morgan,7,0
Noble,1,0
Ohio,1,0
Orange,1,0
Owen,4,0
Porter,5,0
Posey,1,0
Putnam,2,1
Ripley,11,0
Rush,1,0
Scott,1,1
Shelby,2,0
St. Joseph,21,1
Starke,1,0
Sullivan,1,0
Tippecanoe,7,0
Tipton,2,0
Vanderburgh,4,0
Vigo,3,0
Warren,1,0
Warrick,3,0
Washington,3,0
Wayne,1,0
Wells,1,0
Adair,1,0
Allamakee,7,0
Appanoose,1,0
Benton,2,0
Black Hawk,5,0
Buchanan,1,0
Carroll,1,0
Cedar,4,0
Cerro Gordo,2,0
Clayton,1,0
Dallas,7,0
Des Moines,1,0
Dubuque,6,1
Fayette,1,0
Hancock,3,0
Harrison,3,0
Henry,1,0
Jasper,2,0
Johnson,49,0
Kossuth,1,0
Linn,12,0
Mahaska,1,0
Monona,1,0
Muscatine,6,0
Page,1,0
Polk,24,0
Pottawattamie,3,0
Poweshiek,4,0
Scott,7,0
Sioux,2,0
Story,2,0
Tama,4,0
Wapello,1,0
Warren,1,0
Washington,8,0
Winneshiek,1,0
Woodbury,2,0
Bourbon,1,0
Butler,3,0
Cherokee,2,0
Crawford,3,0
Doniphan,1,0
Douglas,13,0
Ford,1,0
Franklin,1,0
Jackson,1,0
Jefferson,1,0
Johnson,59,1
Leavenworth,12,0
Linn,4,0
Lyon,3,0
Mitchell,3,0
Morris,2,0
Neosho,1,0
Pottawatomie,1,0
Reno,4,0
Riley,1,0
Sedgwick,16,0
Shawnee,4,0
Sumner,1,0
Woodson,1,0
Wyandotte,34,2
Allen,1,0
Anderson,2,1
Boone,2,0
Bourbon,2,1
Breathitt,2,0
Calloway,2,0
Christian,5,0
Clark,5,0
Daviess,14,0
Fayette,33,0
Franklin,3,0
Grayson,2,0
Hardin,2,0
Harrison,11,0
Henderson,5,0
Hopkins,1,0
Jefferson,57,3
Jessamine,7,0
Kenton,12,0
Laurel,1,0
Logan,1,0
Lyon,1,0
Madison,5,0
Martin,1,0
Mason,1,0
McCracken,2,0
McCreary,1,0
Menifee,2,0
Mercer,1,0
Montgomery,2,0
Muhlenberg,2,0
Nelson,2,0
Oldham,2,0
Pulaski,5,0
Scott,1,0
Simpson,1,0
Spencer,1,0
Union,1,0
Unknown,42,0
Warren,7,0
Wayne,1,0
Webster,1,0
Acadia,3,0
Allen,5,0
Ascension,91,1
Assumption,5,0
Avoyelles,7,0
Beauregard,3,0
Bienville,1,1
Bossier,32,0
Caddo,115,1
Calcasieu,15,1
Catahoula,1,1
Claiborne,2,0
De Soto,11,1
East Baton Rouge,105,4
East Feliciana,4,0
Evangeline,2,0
Grant,1,0
Iberia,4,0
Iberville,17,1
Jackson,1,0
Jefferson,458,12
Jefferson Davis,1,0
LaSalle,1,0
Lafayette,30,0
Lafourche,28,1
Lincoln,3,0
Livingston,11,0
Madison,1,0
Morehouse,3,0
Natchitoches,2,0
Orleans,997,46
Ouachita,19,1
Plaquemines,13,0
Pointe Coupee,1,0
Rapides,25,1
Richland,1,0
St. Bernard,28,1
St. Charles,22,2
St. James,29,1
St. John the Baptist,38,2
St. Landry,5,0
St. Martin,2,0
St. Mary,5,0
St. Tammany,89,1
Tangipahoa,7,0
Terrebonne,21,0
Union,2,0
Unknown,13,1
Vermilion,1,0
Vernon,2,0
Washington,6,1
Webster,8,1
West Baton Rouge,8,1
Winn,1,0
Androscoggin,5,0
Cumberland,90,0
Franklin,1,0
Kennebec,6,0
Knox,1,0
Lincoln,5,0
Oxford,8,0
Penobscot,5,0
Sagadahoc,4,0
Unknown,5,0
Waldo,2,0
York,27,0
Anne Arundel,42,0
Baltimore,81,1
Baltimore city,72,0
Calvert,7,0
Caroline,1,0
Carroll,7,0
Cecil,4,0
Charles,10,0
Frederick,14,0
Garrett,3,0
Harford,9,0
Howard,49,0
Kent,1,0
Montgomery,164,1
Prince George's,101,2
Queen Anne's,1,0
Somerset,1,0
St. Mary's,4,0
Talbot,1,0
Washington,2,0
Wicomico,5,0
Worcester,2,0
Barnstable,67,1
Berkshire,73,2
Bristol,90,0
Dukes,1,0
Essex,247,2
Franklin,16,1
Hampden,55,2
Hampshire,17,0
Middlesex,538,5
Nantucket,2,0
Norfolk,292,2
Plymouth,138,0
Suffolk,448,3
Unknown,267,4
Worcester,166,3
Allegan,1,0
Barry,1,0
Bay,4,0
Berrien,11,0
Calhoun,7,0
Charlevoix,4,0
Chippewa,1,0
Clare,1,0
Clinton,7,0
Eaton,4,0
Emmet,2,0
Genesee,63,1
Gladwin,2,0
Gogebic,1,1
Grand Traverse,3,0
Hillsdale,5,0
Ingham,22,0
Ionia,2,0
Iosco,1,0
Isabella,3,0
Jackson,17,0
Kalamazoo,10,0
Kalkaska,2,0
Kent,41,1
Lapeer,3,0
Leelanau,1,0
Lenawee,5,0
Livingston,21,1
Luce,1,0
Macomb,347,11
Manistee,1,0
Marquette,1,0
Mecosta,1,1
Midland,6,0
Missaukee,1,0
Monroe,21,0
Montcalm,3,0
Muskegon,3,0
Newaygo,1,0
Oakland,695,17
Oceana,1,0
Ogemaw,1,0
Otsego,7,0
Ottawa,18,0
Roscommon,1,0
Saginaw,10,0
Sanilac,1,0
Shiawassee,1,0
St. Clair,13,0
Tuscola,2,1
Unknown,13,0
Van Buren,2,0
Washtenaw,92,3
Wayne,1389,26
Wexford,1,0
Anoka,8,0
Benton,1,0
Big Stone,1,0
Blue Earth,6,0
Carver,8,0
Cass,1,0
Chisago,2,0
Clay,4,0
Dakota,25,0
Dodge,5,0
Fillmore,3,0
Goodhue,1,0
Hennepin,128,0
Jackson,1,0
Kandiyohi,1,0
Lac qui Parle,1,0
Le Sueur,6,0
Martin,12,0
Mower,10,0
Nicollet,3,0
Olmsted,29,0
Ramsey,32,1
Renville,1,0
Rice,2,0
Scott,6,0
Sherburne,1,0
Sibley,1,0
St. Louis,5,0
Stearns,5,0
Steele,5,0
Unknown,1,1
Wabasha,4,0
Waseca,2,0
Washington,15,0
Wilkin,1,0
Winona,4,0
Wright,5,0
Adams,3,0
Amite,1,0
Attala,7,0
Benton,1,0
Bolivar,6,0
Calhoun,3,0
Chickasaw,7,0
Choctaw,4,0
Clay,1,0
Coahoma,17,0
Copiah,8,0
DeSoto,49,0
Forrest,16,0
Franklin,3,0
George,1,0
Grenada,2,0
Hancock,6,1
Harrison,31,0
Hinds,43,0
Holmes,7,1
Humphreys,1,0
Itawamba,3,0
Jackson,16,0
Jones,1,0
Lafayette,10,0
Lamar,4,0
Lauderdale,3,0
Lawrence,5,0
Leake,4,0
Lee,15,0
Leflore,13,0
Lincoln,6,0
Lowndes,8,0
Madison,21,0
Marion,1,0
Marshall,7,0
Monroe,3,0
Montgomery,4,0
Newton,1,0
Noxubee,1,0
Oktibbeha,10,0
Panola,4,0
Pearl River,16,0
Perry,1,0
Pike,12,0
Pontotoc,3,0
Prentiss,1,0
Quitman,2,0
Rankin,23,1
Scott,4,0
Simpson,1,0
Smith,1,0
Sunflower,4,0
Tallahatchie,2,0
Tate,6,0
Tippah,14,0
Tunica,5,1
Union,2,0
Walthall,4,0
Washington,9,0
Webster,2,1
Wilkinson,8,1
Winston,3,0
Yalobusha,3,0
Yazoo,4,0
Adair,2,0
Bates,1,0
Benton,1,0
Bollinger,1,0
Boone,25,1
Callaway,2,0
Camden,1,0
Cape Girardeau,6,0
Carter,1,0
Cass,8,0
Christian,2,0
Clay,5,0
Clinton,1,0
Cole,8,0
Cooper,1,0
Dunklin,2,0
Franklin,4,0
Greene,25,3
Henry,1,0
Jackson,31,1
Jasper,2,0
Jefferson,10,0
Johnson,8,0
Kansas City,64,0
Lafayette,2,0
McDonald,1,0
Moniteau,2,0
Montgomery,2,0
Newton,3,0
Pemiscot,1,0
Perry,4,0
Platte,5,0
Pulaski,4,0
Ralls,1,0
Randolph,1,0
Scott,1,0
Shelby,1,0
St. Charles,22,1
St. Francois,2,0
St. Louis,173,1
St. Louis city,69,1
Stoddard,1,0
Taney,1,0
Unknown,10,0
Broadwater,2,0
Cascade,5,0
Flathead,5,0
Gallatin,38,0
Hill,1,0
Jefferson,1,0
Lewis and Clark,5,0
Lincoln,1,0
Madison,2,0
Meagher,1,0
Missoula,7,0
Ravalli,1,0
Roosevelt,1,0
Silver Bow,5,0
Toole,1,0
Yellowstone,14,0
Adams,1,0
Buffalo,2,0
Cass,2,0
Dawson,1,0
Dodge,1,0
Douglas,58,0
Hall,1,0
Hamilton,1,0
Kearney,1,0
Knox,2,0
Lancaster,3,0
Lincoln,3,0
Madison,1,0
Nemaha,1,0
Sarpy,7,0
Saunders,2,0
Washington,5,0
Carson City,4,0
Clark,350,10
Douglas,3,0
Elko,2,0
Lyon,1,0
Nye,1,0
Unknown,107,0
Washoe,67,0
Belknap,8,0
Carroll,7,0
Cheshire,2,0
Grafton,23,0
Hillsborough,35,1
Merrimack,7,0
Rockingham,67,0
Strafford,7,0
Sullivan,2,0
Atlantic,10,0
Bergen,1206,21
Burlington,64,3
Camden,73,1
Cape May,6,0
Cumberland,4,1
Essex,609,15
Gloucester,33,0
Hudson,441,4
Hunterdon,39,0
Mercer,111,0
Middlesex,505,5
Monmouth,501,7
Morris,315,7
Ocean,389,5
Passaic,399,5
Salem,2,0
Somerset,179,4
Sussex,49,0
Union,432,3
Unknown,1478,7
Warren,31,1
Bernalillo,55,0
Chaves,4,0
Cibola,1,0
Curry,1,0
Doña Ana,16,0
Eddy,1,1
Lea,1,0
McKinley,3,0
Rio Arriba,2,0
San Juan,14,0
San Miguel,1,0
Sandoval,10,0
Santa Fe,22,0
Socorro,2,0
Taos,3,0
Albany,171,0
Allegany,2,0
Broome,16,2
Cayuga,2,0
Chautauqua,1,0
Chemung,7,0
Chenango,3,0
Clinton,11,0
Columbia,13,0
Cortland,2,0
Delaware,7,0
Dutchess,190,2
Erie,134,2
Essex,4,0
Franklin,1,0
Fulton,1,0
Genesee,4,0
Greene,5,0
Hamilton,2,0
Herkimer,7,0
Jefferson,3,0
Livingston,3,0
Madison,9,0
Monroe,139,3
Montgomery,5,0
Nassau,3914,19
New York City,23112,365
Niagara,14,0
Oneida,13,0
Onondaga,83,0
Ontario,11,0
Orange,751,2
Orleans,2,0
Oswego,4,0
Otsego,3,0
Putnam,94,0
Rensselaer,32,0
Rockland,1197,7
Saratoga,73,0
Schenectady,62,0
Schoharie,2,0
St. Lawrence,2,0
Steuben,11,0
Suffolk,2735,22
Sullivan,53,0
Tioga,2,0
Tompkins,22,0
Ulster,89,0
Warren,2,0
Washington,4,0
Wayne,8,0
Westchester,5944,8
Wyoming,7,0
Alamance,4,0
Beaufort,2,0
Bertie,3,0
Brunswick,11,0
Buncombe,15,0
Burke,2,0
Cabarrus,16,1
Caldwell,3,0
Carteret,5,0
Catawba,4,0
Chatham,9,0
Cherokee,4,0
Cleveland,2,0
Craven,3,0
Cumberland,7,0
Davidson,3,0
Davie,1,0
Duplin,1,0
Durham,75,0
Forsyth,17,0
Franklin,5,0
Gaston,7,0
Granville,1,0
Guilford,24,0
Harnett,11,1
Henderson,4,0
Hertford,2,0
Hoke,2,0
Iredell,13,0
Johnston,9,0
Lee,1,0
Lenoir,3,0
Lincoln,1,0
McDowell,2,0
Mecklenburg,181,0
Montgomery,3,0
Moore,2,0
Nash,2,0
New Hanover,11,0
Northampton,3,0
Onslow,4,0
Orange,16,0
Pasquotank,1,0
Pitt,8,0
Randolph,3,0
Richmond,1,0
Robeson,2,0
Rowan,6,0
Sampson,1,0
Scotland,1,0
Stanly,1,0
Transylvania,2,0
Union,24,0
Vance,2,0
Wake,83,0
Watauga,3,0
Wayne,1,0
Wilson,7,0
Burleigh,23,0
Cass,8,0
Dunn,1,0
Foster,1,0
McHenry,1,0
McIntosh,1,0
Morton,8,0
Pierce,2,0
Ramsey,3,0
Stark,5,0
Walsh,1,0
Ward,4,0
Ashland,1,0
Ashtabula,3,0
Athens,1,0
Belmont,3,0
Butler,21,0
Carroll,3,0
Champaign,2,0
Clark,2,0
Clermont,6,0
Clinton,2,0
Columbiana,5,1
Coshocton,4,0
Crawford,1,0
Cuyahoga,259,2
Darke,1,0
Defiance,2,0
Delaware,15,0
Erie,3,1
Fairfield,6,0
Fayette,1,0
Franklin,109,2
Gallia,1,1
Geauga,7,0
Greene,3,0
Hamilton,53,0
Hancock,2,0
Highland,1,0
Huron,3,0
Jefferson,1,0
Knox,2,0
Lake,19,0
Lawrence,1,0
Licking,5,0
Logan,2,0
Lorain,44,0
Lucas,35,2
Madison,3,0
Mahoning,51,1
Marion,4,0
Medina,24,0
Mercer,1,0
Miami,20,2
Montgomery,14,0
Muskingum,1,0
Pickaway,2,0
Portage,8,0
Richland,4,0
Sandusky,1,0
Seneca,1,0
Stark,16,2
Summit,50,0
Trumbull,12,1
Tuscarawas,3,0
Union,3,0
Unknown,1,0
Warren,10,0
Washington,1,0
Wayne,2,0
Wood,6,0
Wyandot,1,0
Adair,2,0
Bryan,1,0
Canadian,6,0
Carter,1,0
Cleveland,39,3
Comanche,3,0
Craig,1,0
Creek,10,0
Custer,3,0
Delaware,1,0
Garvin,2,0
Grady,2,0
Jackson,1,0
Kay,11,0
Lincoln,1,0
Logan,3,0
Mayes,2,0
McClain,2,0
Muskogee,4,0
Noble,2,0
Oklahoma,73,2
Okmulgee,2,0
Osage,3,0
Ottawa,1,0
Pawnee,10,1
Payne,5,0
Pontotoc,1,0
Pottawatomie,2,0
Sequoyah,1,0
Stephens,1,0
Tulsa,41,1
Wagoner,6,0
Washington,5,0
Benton,6,0
Clackamas,21,2
Clatsop,2,0
Deschutes,15,0
Douglas,3,0
Grant,1,0
Hood River,1,0
Jackson,4,0
Josephine,4,0
Klamath,1,0
Lane,7,1
Lincoln,1,0
Linn,26,1
Marion,57,2
Multnomah,45,2
Polk,6,0
Tillamook,1,0
Umatilla,2,0
Union,1,0
Wasco,1,0
Washington,104,3
Yamhill,7,0
Adams,7,0
Allegheny,133,2
Armstrong,1,0
Beaver,13,0
Berks,36,0
Blair,1,0
Bradford,2,0
Bucks,110,0
Butler,19,1
Cambria,1,0
Carbon,2,0
Centre,9,0
Chester,84,0
Clearfield,2,0
Columbia,3,0
Crawford,1,0
Cumberland,15,0
Dauphin,13,0
Delaware,156,1
Erie,4,0
Fayette,8,0
Franklin,5,0
Greene,3,0
Indiana,1,0
Juniata,1,0
Lackawanna,28,2
Lancaster,21,0
Lawrence,1,0
Lebanon,4,0
Lehigh,63,1
Luzerne,36,1
Lycoming,1,0
Mercer,3,0
Monroe,67,2
Montgomery,282,2
Montour,4,0
Northampton,56,3
Philadelphia,402,1
Pike,15,0
Potter,1,0
Schuylkill,9,0
Somerset,2,0
Susquehanna,1,0
Warren,1,0
Washington,12,0
Wayne,6,0
Westmoreland,24,0
York,21,0
Unknown,64,2
Bristol,5,0
Kent,7,0
Newport,8,0
Providence,42,0
Unknown,106,0
Washington,9,0
Abbeville,4,0
Aiken,4,0
Anderson,21,0
Beaufort,29,0
Berkeley,8,0
Calhoun,1,0
Charleston,60,1
Chester,1,0
Chesterfield,3,0
Clarendon,5,1
Colleton,1,0
Darlington,8,0
Dillon,1,0
Dorchester,4,0
Edgefield,1,0
Fairfield,4,0
Florence,5,2
Georgetown,3,0
Greenville,51,0
Greenwood,2,0
Horry,21,1
Jasper,3,0
Kershaw,64,1
Lancaster,7,0
Lee,2,0
Lexington,20,1
Marion,1,0
Marlboro,1,0
Newberry,1,0
Oconee,2,0
Orangeburg,11,0
Pickens,6,0
Richland,60,0
Saluda,1,0
Spartanburg,9,0
Sumter,10,2
Union,1,0
Williamsburg,1,0
York,19,0
Beadle,14,0
Bon Homme,1,0
Brookings,1,0
Brown,2,0
Charles Mix,1,0
Codington,1,0
Davison,2,1
Hughes,1,0
Lincoln,2,0
Lyman,1,0
McCook,2,0
Meade,1,0
Minnehaha,16,0
Pennington,1,0
Anderson,3,0
Bedford,1,0
Benton,1,0
Blount,4,0
Bradley,5,0
Campbell,2,0
Cannon,1,0
Carroll,3,0
Cheatham,7,0
Chester,2,0
Claiborne,2,0
Cocke,1,0
Cumberland,6,0
Davidson,293,2
DeKalb,2,0
Dickson,7,0
Dyer,3,0
Fayette,3,0
Franklin,3,0
Gibson,2,0
Greene,8,0
Grundy,1,0
Hamblen,2,0
Hamilton,28,0
Hardin,1,0
Hawkins,1,0
Houston,2,0
Jefferson,4,0
Knox,26,0
Lewis,2,0
Lincoln,1,0
Loudon,6,0
Macon,1,0
Madison,2,0
Marion,2,0
Maury,7,0
McMinn,3,0
Meigs,1,0
Monroe,3,0
Montgomery,6,0
Overton,1,0
Perry,1,0
Putnam,11,0
Roane,1,0
Robertson,20,0
Rutherford,27,0
Scott,2,0
Sevier,3,0
Shelby,198,0
Sullivan,4,0
Sumner,43,0
Tipton,8,0
Unicoi,1,0
Unknown,112,1
Washington,9,0
White,1,0
Williamson,70,0
Wilson,13,0
Angelina,1,0
Atascosa,2,0
Austin,1,0
Bastrop,2,0
Bell,20,1
Bexar,84,3
Blanco,1,0
Bowie,1,0
Brazoria,33,0
Brazos,28,0
Brown,3,0
Burnet,1,0
Calhoun,2,0
Cameron,13,0
Cass,1,0
Castro,6,0
Chambers,2,0
Collin,88,1
Comal,8,1
Cooke,1,0
Coryell,1,0
Crane,1,0
Dallas,303,7
DeWitt,2,0
Deaf Smith,2,0
Denton,83,1
Eastland,2,0
El Paso,25,0
Ellis,6,0
Erath,1,0
Falls,1,0
Fannin,1,0
Fayette,1,0
Fort Bend,86,0
Gaines,1,0
Galveston,27,0
Grayson,2,0
Gregg,3,0
Grimes,2,0
Guadalupe,8,0
Hale,1,0
Hardin,2,0
Harris,203,2
Hays,9,0
Hidalgo,7,0
Hockley,5,0
Hopkins,1,0
Hunt,1,0
Jackson,1,0
Jefferson,7,0
Johnson,3,0
Karnes,1,0
Kaufman,2,0
Kendall,3,0
Lamar,1,0
Lavaca,1,0
Liberty,1,0
Limestone,1,0
Llano,2,0
Lubbock,19,0
Martin,1,0
Matagorda,9,1
Maverick,1,0
McLennan,28,0
Medina,1,0
Midland,4,1
Milam,2,0
Montgomery,31,0
Morris,1,0
Nacogdoches,1,0
Nueces,14,0
Oldham,1,1
Orange,1,0
Parker,2,0
Potter,2,0
Robertson,1,0
Rockwall,2,0
Rusk,2,0
San Patricio,1,0
Smith,21,1
Tarrant,90,1
Terry,3,0
Tom Green,2,0
Travis,137,0
Upshur,1,0
Val Verde,1,0
Van Zandt,1,0
Victoria,3,0
Walker,3,0
Webb,10,0
Wharton,3,0
Wichita,8,0
Williamson,27,0
Wilson,1,0
Box Elder,2,0
Cache,4,0
Davis,39,1
Iron,2,0
Morgan,2,0
Salt Lake,181,0
Summit,103,0
Tooele,4,0
Unknown,5,0
Utah,25,0
Wasatch,21,0
Washington,6,0
Weber,8,0
Addison,12,0
Bennington,11,0
Caledonia,1,0
Chittenden,75,6
Franklin,4,0
Lamoille,5,0
Orange,3,0
Orleans,3,0
Rutland,5,0
Unknown,23,2
Washington,7,0
Windham,7,0
Windsor,17,1
Unknown,17,0
Accomack,2,0
Albemarle,8,0
Alexandria city,14,0
Amelia,1,0
Amherst,1,0
Arlington,63,0
Bedford,2,0
Botetourt,1,0
Charles City,1,0
Charlottesville city,9,0
Chesapeake city,4,0
Chesterfield,12,0
Culpeper,2,0
Danville city,2,0
Fairfax,124,1
Fairfax city,1,0
Fauquier,4,0
Fluvanna,3,0
Franklin,1,0
Frederick,4,0
Fredericksburg city,1,0
Gloucester,3,0
Goochland,3,0
Greene,1,0
Halifax,1,0
Hampton city,1,0
Hanover,2,0
Harrisonburg city,3,0
Henrico,28,3
Isle of Wight,2,0
James City,49,3
King George,1,0
Lee,2,0
Loudoun,43,0
Louisa,5,0
Lynchburg city,1,0
Madison,2,0
Manassas city,3,0
Mathews,1,0
Mecklenburg,4,0
Nelson,1,0
Newport News city,8,1
Norfolk city,6,0
Northampton,1,0
Nottoway,1,0
Orange,1,0
Pittsylvania,1,0
Poquoson city,1,0
Portsmouth city,3,0
Prince Edward,2,0
Prince George,2,0
Prince William,44,0
Radford city,1,0
Richmond city,14,0
Roanoke,1,0
Rockbridge,1,0
Rockingham,4,0
Shenandoah,3,0
Southampton,1,0
Spotsylvania,3,0
Stafford,11,0
Suffolk city,1,0
Virginia Beach city,26,0
Warren,2,0
Washington,1,0
Williamsburg city,5,1
York,9,0
Adams,3,0
Benton,19,4
Chelan,11,1
Clallam,5,0
Clark,48,5
Columbia,1,0
Cowlitz,7,0
Douglas,5,0
Ferry,1,0
Franklin,7,0
Grant,33,1
Grays Harbor,1,0
Island,64,1
Jefferson,11,0
King,1579,111
Kitsap,33,0
Kittitas,8,0
Klickitat,7,0
Lewis,5,0
Lincoln,1,0
Mason,2,0
Okanogan,1,0
Pierce,186,4
San Juan,3,0
Skagit,78,1
Snohomish,778,18
Spokane,67,0
Stevens,2,0
Thurston,24,0
Walla Walla,3,0
Whatcom,86,4
Whitman,3,0
Yakima,61,2
Berkeley,4,0
Harrison,4,0
Jackson,5,0
Jefferson,4,0
Kanawha,15,0
Logan,1,0
Marion,2,0
Marshall,3,0
Mason,1,0
Mercer,2,0
Monongalia,24,0
Ohio,1,0
Preston,1,0
Putnam,2,0
Raleigh,2,0
Tucker,2,0
Upshur,1,0
Wood,2,0
Bayfield,1,0
Brown,4,0
Calumet,1,0
Chippewa,1,0
Clark,1,0
Columbia,5,0
Dane,114,1
Dodge,3,0
Douglas,4,0
Dunn,1,0
Eau Claire,6,0
Fond du Lac,17,1
Grant,1,0
Green,1,0
Iowa,3,0
Jefferson,5,0
Juneau,1,0
Kenosha,19,0
La Crosse,12,0
Marathon,1,0
Milwaukee,393,7
Monroe,1,0
Outagamie,4,0
Ozaukee,22,1
Pierce,3,0
Portage,1,0
Racine,8,0
Rock,8,0
Sauk,7,0
Sheboygan,7,0
St. Croix,4,0
Vilas,1,0
Walworth,5,0
Washington,25,0
Waukesha,56,0
Winnebago,6,0
Wood,2,0
Albany,1,0
Campbell,1,0
Carbon,3,0
Fremont,14,0
Hot Springs,1,0
Johnson,1,0
Laramie,15,0
Natrona,6,0
Park,1,0
Sheridan,4,0
Sweetwater,1,0
Teton,8,0
Autauga,6,0
Baldwin,5,0
Blount,5,0
Bullock,2,0
Butler,1,0
Calhoun,3,0
Chambers,15,0
Cherokee,1,0
Chilton,7,0
Choctaw,1,0
Clay,1,0
Cleburne,3,0
Colbert,1,0
Coosa,2,0
Covington,2,0
Crenshaw,1,0
Cullman,7,0
Dallas,2,0
DeKalb,4,0
Elmore,12,0
Escambia,1,0
Etowah,5,0
Franklin,3,0
Greene,1,0
Houston,4,0
Jackson,5,1
Jefferson,179,0
Lamar,1,0
Lauderdale,11,1
Lawrence,3,0
Lee,53,0
Limestone,16,0
Lowndes,1,0
Madison,61,1
Marengo,2,0
Marion,7,0
Marshall,4,0
Mobile,23,1
Montgomery,18,0
Morgan,13,0
Pickens,1,0
Pike,4,0
Randolph,1,0
Russell,1,0
Shelby,70,0
St. Clair,9,0
Talladega,4,0
Tallapoosa,5,0
Tuscaloosa,22,0
Walker,24,0
Washington,2,0
Wilcox,2,0
Winston,2,0
Anchorage,43,1
Fairbanks North Star Borough,19,0
Juneau City and Borough,4,0
Kenai Peninsula Borough,5,0
Ketchikan Gateway Borough,12,0
Matanuska-Susitna Borough,2,0
Apache,11,0
Cochise,2,0
Coconino,41,2
Graham,4,0
La Paz,2,0
Maricopa,399,5
Mohave,4,0
Navajo,49,0
Pima,102,4
Pinal,36,0
Santa Cruz,2,0
Yavapai,9,0
Yuma,4,0
Baxter,1,0
Benton,24,0
Boone,1,0
Bradley,4,0
Chicot,1,0
Clark,17,0
Cleburne,49,2
Cleveland,4,0
Columbia,1,0
Conway,2,0
Craighead,4,0
Crawford,1,0
Crittenden,12,0
Cross,1,0
Desha,2,0
Drew,2,0
Faulkner,28,0
Garland,20,0
Grant,3,0
Greene,3,0
Hempstead,1,0
Hot Spring,2,0
Howard,3,0
Independence,3,0
Jefferson,23,0
Lawrence,3,0
Lincoln,6,0
Lonoke,4,0
Pike,2,0
Poinsett,3,0
Polk,2,0
Pope,3,0
Pulaski,89,1
Randolph,2,0
Saline,4,0
Searcy,4,0
Sebastian,3,0
Sevier,1,0
Stone,4,0
Union,2,0
Unknown,61,1
Van Buren,17,0
Washington,13,0
White,6,0
Woodruff,1,0
Alameda,241,4
Amador,1,0
Butte,5,0
Calaveras,3,0
Colusa,1,0
Contra Costa,151,2
El Dorado,12,0
Fresno,31,0
Humboldt,14,0
Imperial,21,0
Inyo,5,0
Kern,41,1
Kings,1,0
Los Angeles,1465,27
Madera,11,1
Marin,69,1
Mendocino,2,0
Merced,7,0
Mono,8,0
Monterey,27,1
Napa,10,0
Nevada,12,0
Orange,321,3
Placer,41,1
Riverside,185,8
Sacramento,164,6
San Benito,11,1
San Bernardino,64,3
San Diego,417,5
San Francisco,282,3
San Joaquin,93,4
San Luis Obispo,59,0
San Mateo,239,6
Santa Barbara,47,0
Santa Clara,574,21
Santa Cruz,34,0
Shasta,3,1
Siskiyou,3,0
Solano,39,0
Sonoma,50,1
Stanislaus,23,0
Sutter,2,0
Tulare,24,0
Unknown,1,0
Ventura,83,3
Yolo,16,1
Yuba,3,0
Adams,71,0
Alamosa,1,0
Arapahoe,155,1
Boulder,76,1
Broomfield,13,0
Chaffee,5,1
Clear Creek,3,0
Costilla,1,0
Crowley,1,1
Delta,2,0
Denver,312,3
Douglas,79,0
Eagle,170,1
El Paso,160,7
Elbert,3,0
Fremont,1,0
Garfield,16,0
Grand,2,0
Gunnison,66,1
Hinsdale,1,0
Huerfano,1,0
Jefferson,158,5
Kit Carson,2,0
La Plata,13,0
Larimer,67,1
Lincoln,1,0
Logan,3,0
Mesa,7,0
Montrose,6,0
Morgan,4,0
Otero,2,0
Park,1,0
Pitkin,25,0
Pueblo,7,1
Rio Grande,2,0
Routt,12,0
San Miguel,1,0
Summit,10,0
Teller,7,1
Unknown,136,0
Washington,1,0
Weld,129,6
Yuma,2,0
Fairfield,752,15
Hartford,189,2
Litchfield,52,0
Middlesex,25,1
New Haven,222,6
New London,15,0
Tolland,33,3
Windham,3,0
Kent,21,0
New Castle,106,1
Sussex,38,1
District of Columbia,304,4
Alachua,60,0
Baker,7,0
Bay,4,0
Bradford,1,0
Brevard,20,0
Broward,631,10
Charlotte,8,0
Citrus,11,1
Clay,22,4
Collier,85,0
Columbia,3,0
DeSoto,6,0
Duval,99,3
Escambia,28,0
Flagler,12,0
Gadsden,1,0
Hernando,12,0
Highlands,6,1
Hillsborough,174,2
Indian River,15,0
Jackson,1,0
Lake,32,0
Lee,95,5
Leon,15,0
Levy,1,0
Manatee,29,1
Marion,9,0
Martin,17,0
